country,InstagramUsers_2024,InstagramUsers_PctFemale_2024,InstagramUsers_PctMale_2024,InstagramUsers2023,continent
Panama,2678900.0,52.7,47.3,2200000,NA
Croatia,1536800.0,56.1,43.9,1350000,EU
Georgia,1779700.0,58.4,41.6,1300000,AS
Eritrea,9500.0,37.9,62.1,2750,AF
Mongolia,1030700.0,60.4,39.6,774600,AS
Uruguay,2321800.0,57.4,42.6,1850000,SA
Puerto Rico,1644500.0,56.5,43.5,1200000,NA
Bosnia and Herzegovina,1170100.0,54.1,45.9,1200000,EU
Qatar,1736500.0,35.1,64.9,1100000,AS
Moldova,1048000.0,62.5,37.5,876900,EU
Namibia,426300.0,53.9,46.1,317400,AF
Armenia,1366600.0,56.7,43.3,1010000,AS
Lithuania,1018500.0,60.6,39.4,814200,EU
Jamaica,1163000.0,55.6,44.4,914900,NA
Albania,1249100.0,48.1,51.9,1030000,EU
Gambia,175700.0,33.2,66.8,118200,AF
Gabon,136300.0,46.3,53.7,104600,AF
Botswana,210000.0,54.1,45.9,165000,AF
Lesotho,38201.0,57.3,42.7,33100,AF
Guinea-Bissau,,,,29700,AF
Slovenia,736200.0,53.2,46.8,621000,EU
Equatorial Guinea,52500.0,40.2,59.8,32800,AF
Latvia,729400.0,61.8,38.2,612800,EU
North Macedonia,852500.0,51.5,48.5,711500,EU
Bahrain,1131600.0,41.1,58.9,879800,AS
Trinidad and Tobago,694400.0,55.5,44.5,631000,NA
Timor-Leste,,,,66100,Other
Estonia,527600.0,60.5,39.5,476500,EU
Cyprus,913200.0,51.6,48.4,722900,AS
Mauritius,403600.0,51.4,48.6,326700,AF
Eswatini,64200.0,57.3,42.7,53300,AF
Djibouti,,,,16800,AF
Fiji,223100.0,54.0,46.0,161800,OC
Reunion,283200.0,54.4,45.6,227500,Other
Comoros,27001.0,31.9,68.1,21000,AF
Guyana,176100.0,56.3,43.7,134200,SA
Solomon Islands,12000.0,55.8,44.2,6000,OC
Bhutan,146200.0,53.3,46.7,132400,AS
Macau,242800.0,56.8,43.2,194200,AS
Luxembourg,304800.0,53.2,46.8,241400,EU
Montenegro,421100.0,53.7,46.3,350900,EU
Suriname,131700.0,50.9,49.1,118100,SA
Western Sahara,,,,155600,Other
Malta,276200.0,49.0,51.0,219700,EU
Maldives,280400.0,42.4,57.6,198600,AS
Cape Verde,131200.0,51.4,48.6,101300,AF
Brunei,305700.0,54.7,45.3,319900,AS
Belize,128600.0,54.1,45.9,98800,NA
Bahamas,127700.0,56.4,43.6,128000,NA
Iceland,223300.0,55.8,44.2,199100,EU
Guadeloupe,173200.0,56.6,43.4,141600,NA
Martinique,166300.0,56.2,43.8,128000,NA
Vanuatu,8000.0,60.0,40.0,5350,OC
Mayotte,48100.0,49.3,50.7,40400,AF
French Guiana,94900.0,54.0,46.0,76300,SA
New Caledonia,74800.0,55.2,44.8,61300,OC
Barbados,188700.0,56.2,43.8,148300,NA
French Polynesia,64300.0,55.5,44.5,55300,OC
Sao Tome and Principe,6300.0,44.4,55.6,7250,AF
Samoa,31400.0,58.3,41.7,18300,OC
Curacao,67900.0,57.4,42.6,53100,Other
Saint Lucia,65400.0,55.8,44.2,56700,NA
Guam,98600.0,55.6,44.4,82300,OC
Kiribati,,,,1100,OC
Seychelles,37200.0,46.2,53.8,25300,AF
Grenada,48900.0,52.6,47.4,41100,NA
Micronesia,4700.0,63.8,36.2,5650,OC
Aruba,63000.0,55.6,44.4,51400,NA
Tonga,13800.0,60.9,39.1,9600,OC
Jersey,41900.0,57.0,43.0,41500,EU
Saint Vincent and the Grenadines,47500.0,54.1,45.9,47200,NA
Antigua and Barbuda,40500.0,54.1,45.9,37100,NA
United States Virgin Islands,22000.0,57.3,42.7,14500,NA
Isle of Man,31300.0,55.6,44.4,31700,EU
Andorra,52500.0,53.5,46.5,37500,EU
Cayman Islands,50000.0,52.6,47.4,38600,NA
Dominica,20400.0,51.5,48.5,18300,NA
Bermuda,32600.0,55.5,44.5,29000,NA
Guernsey,,,,23300,EU
Greenland,19000.0,46.8,53.2,18200,NA
Faroe Islands,21500.0,54.4,45.6,24100,EU
Saint Kitts and Nevis,23700.0,54.9,45.1,21800,NA
American Samoa,10000.0,57.0,43.0,11000,OC
Turks and Caicos Islands,20600.0,50.5,49.5,17200,NA
Northern Mariana Islands,14700.0,58.5,41.5,16000,OC
Sint Maarten,17400.0,54.6,45.4,15000,Other
Liechtenstein,5300.0,54.7,45.3,9150,EU
British Virgin Islands,11200.0,52.7,47.3,10600,NA
Gibraltar,15900.0,53.5,46.5,16800,EU
Monaco,11200.0,56.3,43.8,9550,EU
Marshall Islands,,,,2850,OC
San Marino,,,,8500,EU
Saint Martin,6100.0,52.5,47.5,8050,NA
Palau,,,,4800,OC
Anguilla,2600.0,53.8,46.2,5850,NA
Cook Islands,,,,3800,OC
Nauru,,,,1600,OC
Wallis and Futuna,,,,1050,OC
Saint Barthelemy,,,,1750,Other
Tuvalu,,,,700,OC
Saint Pierre and Miquelon,,,,1650,NA
Montserrat,,,,1300,NA
Falkland Islands,,,,1100,SA
Tokelau,,,,100,OC
Niue,,,,450,OC
