country,InstagramUsers_2024,InstagramUsers_PctFemale_2024,InstagramUsers_PctMale_2024,InstagramUsers2023,Log GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Population,Percentage
Guatemala,3471100.0,53.3,46.7,2850000,1.26,1.169,0.467,0.735,17458840.0,19.88161871006321
Netherlands,8920900.0,56.2,43.8,7650000,1.901,1.462,0.706,0.725,17912823.0,49.80175374925549
Ecuador,6720700.0,55.6,44.4,5750000,1.315,1.151,0.64,0.606,18364405.0,36.59633949479986
Cambodia,1786600.0,55.1,44.9,1750000,1.011,1.019,0.442,0.863,17168640.0,10.406182434951166
Zimbabwe,535900.0,43.2,56.8,381700,0.748,0.85,0.232,0.487,16942425.0,3.1630654997734977
Guinea,171900.0,28.7,71.3,139100,0.831,0.622,0.236,0.521,14123763.0,1.2170977380461567
Benin,218500.0,36.3,63.7,135500,0.914,0.128,0.284,0.567,14227023.0,1.5358097052348898
Bolivia,2304800.0,52.8,47.2,1750000,1.217,1.179,0.488,0.719,12354407.0,18.65569104207106
Tunisia,3458300.0,52.6,47.4,2750000,1.306,0.955,0.579,0.254,12606819.0,27.43197947079275
Belgium,5407400.0,55.1,44.9,4600000,1.868,1.44,0.69,0.729,11727752.0,46.10772806246244
Jordan,4015600.0,49.4,50.6,2850000,1.262,0.983,0.594,0.593,11408752.0,35.19753957312772
Dominican Republic,4898200.0,54.4,45.6,3900000,1.517,1.272,0.511,0.73,11474900.0,42.68621077307863
United Arab Emirates,7613800.0,35.3,64.7,4950000,1.983,1.164,0.563,0.815,9622465.0,79.12525532698741
Honduras,1934200.0,58.3,41.7,1500000,1.091,1.035,0.502,0.72,10827973.0,17.862992454820493
Sweden,6159200.0,56.6,43.4,5700000,1.878,1.501,0.724,0.838,10698752.0,57.569331450995406
Tajikistan,1568800.0,23.9,76.1,802800,1.378807142857143,1.1343285714285714,0.5208857142857143,0.6206214285714285,,
Portugal,6464900.0,55.4,44.6,5300000,1.728,1.368,0.699,0.757,10212835.0,63.3017178873447
Azerbaijan,4279600.0,47.7,52.3,3250000,1.433,0.876,0.496,0.668,10482334.0,40.8267853323506
Greece,4721800.0,53.5,46.5,4050000,1.684,1.276,0.696,0.337,10286294.0,45.90380169962087
