country,InstagramUsers_2024,InstagramUsers_PctFemale_2024,InstagramUsers_PctMale_2024,InstagramUsers2023
Albania,1249100.0,48.1,51.9,1030000
Gambia,175700.0,33.2,66.8,118200
Gabon,136300.0,46.3,53.7,104600
Botswana,210000.0,54.1,45.9,165000
Lesotho,38201.0,57.3,42.7,33100
Guinea-Bissau,8352471.741463414,50.35024390243902,49.65024390243902,29700
Slovenia,736200.0,53.2,46.8,621000
Equatorial Guinea,52500.0,40.2,59.8,32800
Latvia,729400.0,61.8,38.2,612800
North Macedonia,852500.0,51.5,48.5,711500
Bahrain,1131600.0,41.1,58.9,879800
Trinidad and Tobago,694400.0,55.5,44.5,631000
Timor-Leste,8352471.741463414,50.35024390243902,49.65024390243902,66100
Estonia,527600.0,60.5,39.5,476500
Cyprus,913200.0,51.6,48.4,722900
Mauritius,403600.0,51.4,48.6,326700
Eswatini,64200.0,57.3,42.7,53300
Djibouti,8352471.741463414,50.35024390243902,49.65024390243902,16800
Fiji,223100.0,54.0,46.0,161800
Reunion,283200.0,54.4,45.6,227500
Comoros,27001.0,31.9,68.1,21000
Guyana,176100.0,56.3,43.7,134200
Solomon Islands,12000.0,55.8,44.2,6000
Bhutan,146200.0,53.3,46.7,132400
Macau,242800.0,56.8,43.2,194200
Luxembourg,304800.0,53.2,46.8,241400
Montenegro,421100.0,53.7,46.3,350900
Suriname,131700.0,50.9,49.1,118100
Western Sahara,8352471.741463414,50.35024390243902,49.65024390243902,155600
Malta,276200.0,49.0,51.0,219700
Maldives,280400.0,42.4,57.6,198600
Cape Verde,131200.0,51.4,48.6,101300
Brunei,305700.0,54.7,45.3,319900
Belize,128600.0,54.1,45.9,98800
Bahamas,127700.0,56.4,43.6,128000
Iceland,223300.0,55.8,44.2,199100
Guadeloupe,173200.0,56.6,43.4,141600
Martinique,166300.0,56.2,43.8,128000
Vanuatu,8000.0,60.0,40.0,5350
Mayotte,48100.0,49.3,50.7,40400
French Guiana,94900.0,54.0,46.0,76300
New Caledonia,74800.0,55.2,44.8,61300
Barbados,188700.0,56.2,43.8,148300
French Polynesia,64300.0,55.5,44.5,55300
Sao Tome and Principe,6300.0,44.4,55.6,7250
Samoa,31400.0,58.3,41.7,18300
Curacao,67900.0,57.4,42.6,53100
Saint Lucia,65400.0,55.8,44.2,56700
Guam,98600.0,55.6,44.4,82300
Kiribati,8352471.741463414,50.35024390243902,49.65024390243902,1100
Seychelles,37200.0,46.2,53.8,25300
Grenada,48900.0,52.6,47.4,41100
Micronesia,4700.0,63.8,36.2,5650
Aruba,63000.0,55.6,44.4,51400
Tonga,13800.0,60.9,39.1,9600
Jersey,41900.0,57.0,43.0,41500
Saint Vincent and the Grenadines,47500.0,54.1,45.9,47200
Antigua and Barbuda,40500.0,54.1,45.9,37100
United States Virgin Islands,22000.0,57.3,42.7,14500
Isle of Man,31300.0,55.6,44.4,31700
Andorra,52500.0,53.5,46.5,37500
Cayman Islands,50000.0,52.6,47.4,38600
Dominica,20400.0,51.5,48.5,18300
Bermuda,32600.0,55.5,44.5,29000
Guernsey,8352471.741463414,50.35024390243902,49.65024390243902,23300
Greenland,19000.0,46.8,53.2,18200
Faroe Islands,21500.0,54.4,45.6,24100
Saint Kitts and Nevis,23700.0,54.9,45.1,21800
American Samoa,10000.0,57.0,43.0,11000
Turks and Caicos Islands,20600.0,50.5,49.5,17200
Northern Mariana Islands,14700.0,58.5,41.5,16000
Sint Maarten,17400.0,54.6,45.4,15000
Liechtenstein,5300.0,54.7,45.3,9150
British Virgin Islands,11200.0,52.7,47.3,10600
Gibraltar,15900.0,53.5,46.5,16800
Monaco,11200.0,56.3,43.8,9550
Marshall Islands,8352471.741463414,50.35024390243902,49.65024390243902,2850
San Marino,8352471.741463414,50.35024390243902,49.65024390243902,8500
Saint Martin,6100.0,52.5,47.5,8050
Palau,8352471.741463414,50.35024390243902,49.65024390243902,4800
Anguilla,2600.0,53.8,46.2,5850
Cook Islands,8352471.741463414,50.35024390243902,49.65024390243902,3800
Nauru,8352471.741463414,50.35024390243902,49.65024390243902,1600
Wallis and Futuna,8352471.741463414,50.35024390243902,49.65024390243902,1050
Saint Barthelemy,8352471.741463414,50.35024390243902,49.65024390243902,1750
Tuvalu,8352471.741463414,50.35024390243902,49.65024390243902,700
Saint Pierre and Miquelon,8352471.741463414,50.35024390243902,49.65024390243902,1650
Montserrat,8352471.741463414,50.35024390243902,49.65024390243902,1300
Falkland Islands,8352471.741463414,50.35024390243902,49.65024390243902,1100
Tokelau,8352471.741463414,50.35024390243902,49.65024390243902,100
Niue,8352471.741463414,50.35024390243902,49.65024390243902,450
